exp_rep,exp_unit,treatment,stress,inoculant,rep,ag_biomass,ag_bl_adj
1,1,Nutrient-sterile water,nutrient,a1water,1,0.0021,0.0061
1,2,Drought-Commercial,drought,Lalrise,1,0.0022,0.0062
1,3,a1None-sterile water,none,a1water,1,0.001,0.005
1,5,Drought-sterile water,drought,a1water,1,0.0052,0.0092
1,6,Drought-Commercial,drought,Lalrise,2,0.0227,0.0267
1,7,None-Commercial,none,Lalrise,1,0.0426,0.0466
1,8,Drought-NF,drought,NF,1,0.0112,0.0152
1,9,Nutrient-NF,nutrient,NF,1,0.0021,0.0061
1,10,Nutrient-NF,nutrient,NF,2,0.0012,0.0052
1,11,Drought-PSB_NF,drought,PSB_NF,1,0.0162,0.0202
1,12,a1None-sterile water,none,a1water,2,0.0562,0.0602
1,13,None-PSB_NF,none,PSB_NF,1,0.0835,0.0875
1,14,Nutrient-Commercial,nutrient,Lalrise,1,0.0331,0.0371
1,15,Nutrient-NF,nutrient,NF,3,0.0169,0.0209
1,16,None-PSB_NF,none,PSB_NF,2,0.0377,0.0417
1,17,None-NF,none,NF,1,0.0296,0.0336
1,18,a1None-sterile water,none,a1water,3,0.0799,0.0839
1,20,Nutrient-NF,nutrient,NF,4,0.0005,0.0045
1,21,a1None-sterile water,none,a1water,4,0.0671,0.0711
1,22,None-PSB_NF,none,PSB_NF,3,0.0853,0.0893
1,23,Drought-NF,drought,NF,2,0.0055,0.0095
1,24,Drought-NF,drought,NF,3,0.0211,0.0251
1,26,None-Commercial,none,Lalrise,2,0.0999,0.1039
1,27,None-Commercial,none,Lalrise,3,0.0846,0.0886
1,28,Drought-NF,drought,NF,4,0.0341,0.0381
1,29,Nutrient-PSB,nutrient,PSB,2,0.027,0.031
1,30,a1None-sterile water,none,a1water,5,0.0018,0.0058
1,31,Nutrient-Commercial,nutrient,Lalrise,2,0.0012,0.0052
1,32,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0088,0.0128
1,33,Drought-PSB,drought,PSB,1,0.0189,0.0229
1,34,Drought-sterile water,drought,a1water,2,0.006,0.01
1,35,Drought-PSB_NF,drought,PSB_NF,2,0.0071,0.0111
1,36,Drought-PSB,drought,PSB,2,0.0124,0.0164
1,38,Nutrient-sterile water,nutrient,a1water,2,0.0043,0.0083
1,39,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0173,0.0213
1,40,Drought-sterile water,drought,a1water,3,0.0064,0.0104
1,41,a1None-sterile water,none,a1water,6,0.0786,0.0826
1,42,Drought-NF,drought,NF,5,0.0097,0.0137
1,43,None-NF,none,NF,3,0.0504,0.0544
1,44,None-PSB,none,PSB,1,0.0483,0.0523
1,45,Nutrient-sterile water,nutrient,a1water,3,0.0086,0.0126
1,46,Nutrient-sterile water,nutrient,a1water,4,0.0042,0.0082
1,47,Drought-PSB,drought,PSB,3,0.0161,0.0201
1,50,None-PSB,none,PSB,2,0.0466,0.0506
1,51,None-PSB,none,PSB,3,0.0314,0.0354
1,52,Drought-sterile water,drought,a1water,4,0.0111,0.0151
1,54,Nutrient-NF,nutrient,NF,5,0.0203,0.0243
