exp_rep,exp_unit,treatment,stress,inoculant,rep,bg_biomass,bg_bl_adj
1,1,Nutrient-sterile water,nutrient,a1water,1,0.0067,-0.0105
1,2,Drought-Commercial,drought,Lalrise,1,0.0396,0.0224
1,3,a1None-sterile water,none,a1water,1,0.0015,-0.0157
1,5,Drought-sterile water,drought,a1water,1,0.1099,0.0927
1,6,Drought-Commercial,drought,Lalrise,2,0.4827,0.4655
1,7,None-Commercial,none,Lalrise,1,0.141,0.1238
1,8,Drought-NF,drought,NF,1,0.1093,0.0921
1,9,Nutrient-NF,nutrient,NF,1,0.0088,-0.0084
1,10,Nutrient-NF,nutrient,NF,2,0.0026,-0.0146
1,11,Drought-PSB_NF,drought,PSB_NF,1,0.1481,0.1309
1,12,a1None-sterile water,none,a1water,2,0.0688,0.0516
1,13,None-PSB_NF,none,PSB_NF,1,0.3836,0.3664
1,14,Nutrient-Commercial,nutrient,Lalrise,1,0.0875,0.0703
1,15,Nutrient-NF,nutrient,NF,3,0.0876,0.0704
1,16,None-PSB_NF,none,PSB_NF,2,0.1152,0.098
1,17,None-NF,none,NF,1,0.0573,0.0401
1,18,a1None-sterile water,none,a1water,3,0.0983,0.0811
1,20,Nutrient-NF,nutrient,NF,4,0.0046,-0.0126
1,21,a1None-sterile water,none,a1water,4,0.0891,0.0719
1,22,None-PSB_NF,none,PSB_NF,3,0.0785,0.0613
1,23,Drought-NF,drought,NF,2,0.0042,-0.013
1,24,Drought-NF,drought,NF,3,0.0178,0.0006
1,26,None-Commercial,none,Lalrise,2,0.1322,0.115
1,27,None-Commercial,none,Lalrise,3,0.0304,0.0132
1,28,Drought-NF,drought,NF,4,0.0534,0.0362
1,29,Nutrient-PSB,nutrient,PSB,2,0.0161,-0.0011
1,30,a1None-sterile water,none,a1water,5,0.0007,-0.0165
1,31,Nutrient-Commercial,nutrient,Lalrise,2,0.0011,-0.0161
1,32,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0053,-0.0119
1,33,Drought-PSB,drought,PSB,1,0.1038,0.0866
1,34,Drought-sterile water,drought,a1water,2,0.0035,-0.0137
1,36,Drought-PSB,drought,PSB,2,0.0111,-0.0061
1,38,Nutrient-sterile water,nutrient,a1water,2,0.0024,-0.0148
1,39,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0094,-0.0078
1,40,Drought-sterile water,drought,a1water,3,0.0057,-0.0115
1,41,a1None-sterile water,none,a1water,6,0.0329,0.0157
1,42,Drought-NF,drought,NF,5,0.0065,-0.0107
1,43,None-NF,none,NF,3,0.0305,0.0133
1,44,None-PSB,none,PSB,1,0.0378,0.0206
1,45,Nutrient-sterile water,nutrient,a1water,3,0.0059,-0.0113
1,46,Nutrient-sterile water,nutrient,a1water,4,0.0019,-0.0153
1,47,Drought-PSB,drought,PSB,3,0.0141,-0.0031
1,50,None-PSB,none,PSB,2,0.034,0.0168
1,51,None-PSB,none,PSB,3,0.0113,-0.0059
1,52,Drought-sterile water,drought,a1water,4,0.0175,0.0003
1,54,Nutrient-NF,nutrient,NF,5,0.005,-0.0122
1,55,Drought-Commercial,drought,Lalrise,3,0.0067,-0.0105
1,56,None-PSB_NF,none,PSB_NF,4,0.0048,-0.0124
1,57,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0041,-0.0131
1,58,Nutrient-PSB,nutrient,PSB,3,0.0007,-0.0165
1,59,Nutrient-PSB,nutrient,PSB,4,0.0105,-0.0067
1,60,Drought-Commercial,drought,Lalrise,4,0.0055,-0.0117
1,61,Drought-Commercial,drought,Lalrise,5,0.0296,0.0124
1,62,Drought-PSB_NF,drought,PSB_NF,3,0.0337,0.0165
1,63,Drought-PSB_NF,drought,PSB_NF,4,0.0164,-0.0008
1,64,None-NF,none,NF,4,0.1743,0.1571
