exp_rep,exp_unit,treatment,stress,inoculant,rep,spad,spad_bl_adj
1,2,Drought-Commercial,drought,Lalrise,1,24.5,26.91
1,5,Drought-sterile water,drought,a1water,1,33.2,35.61
1,7,None-Commercial,none,Lalrise,1,39.4,41.81
1,8,Drought-NF,drought,NF,1,34.1,36.51
1,11,Drought-PSB_NF,drought,PSB_NF,1,24.3,26.71
1,12,a1None-sterile water,none,a1water,2,33.5,35.91
1,13,None-PSB_NF,none,PSB_NF,1,34.1,36.51
1,14,Nutrient-Commercial,nutrient,Lalrise,1,29.5,31.91
1,15,Nutrient-NF,nutrient,NF,3,29.3,31.71
1,16,None-PSB_NF,none,PSB_NF,2,30.2,32.61
1,17,None-NF,none,NF,1,33.1,35.51
1,18,a1None-sterile water,none,a1water,3,39.6,42.01
1,21,a1None-sterile water,none,a1water,4,36.4,38.81
1,22,None-PSB_NF,none,PSB_NF,3,32.1,34.51
1,23,Drought-NF,drought,NF,2,35.8,38.21
1,24,Drought-NF,drought,NF,3,36.4,38.81
1,26,None-Commercial,none,Lalrise,2,44.3,46.71
1,27,None-Commercial,none,Lalrise,3,38.9,41.31
1,29,Nutrient-PSB,nutrient,PSB,2,20.7,23.11
1,32,Nutrient-PSB_NF,nutrient,PSB_NF,3,12.4,14.81
1,34,Drought-sterile water,drought,a1water,2,33.2,35.61
1,35,Drought-PSB_NF,drought,PSB_NF,2,39.9,42.31
1,38,Nutrient-sterile water,nutrient,a1water,2,23.3,25.71
1,39,Nutrient-PSB_NF,nutrient,PSB_NF,4,29.4,31.81
1,40,Drought-sterile water,drought,a1water,3,26.8,29.21
1,41,a1None-sterile water,none,a1water,6,35.1,37.51
1,42,Drought-NF,drought,NF,5,36.1,38.51
1,43,None-NF,none,NF,3,40.8,43.21
1,44,None-PSB,none,PSB,1,40.9,43.31
1,45,Nutrient-sterile water,nutrient,a1water,3,10.4,12.81
1,46,Nutrient-sterile water,nutrient,a1water,4,16.7,19.11
1,47,Drought-PSB,drought,PSB,3,34.4,36.81
1,50,None-PSB,none,PSB,2,37.8,40.21
1,51,None-PSB,none,PSB,3,33.2,35.61
1,52,Drought-sterile water,drought,a1water,4,40.8,43.21
1,54,Nutrient-NF,nutrient,NF,5,29.3,31.71
1,56,None-PSB_NF,none,PSB_NF,4,35.2,37.61
