exp_rep,exp_unit,treatment,stress,inoculant,rep,tot_biomass
1,1,Nutrient-sterile water,nutrient,a1water,1,0.0103
1,2,Drought-Commercial,drought,Lalrise,1,0.0541
1,3,a1None-sterile water,none,a1water,1,0.0171
1,4,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0103
1,5,Drought-sterile water,drought,a1water,1,0.1203
1,6,Drought-Commercial,drought,Lalrise,2,0.5559
1,7,None-Commercial,none,Lalrise,1,0.1948
1,8,Drought-NF,drought,NF,1,0.1294
1,9,Nutrient-NF,nutrient,NF,1,0.0129
1,10,Nutrient-NF,nutrient,NF,2,0.0066
1,11,Drought-PSB_NF,drought,PSB_NF,1,0.1807
1,12,a1None-sterile water,none,a1water,2,0.1469
1,13,None-PSB_NF,none,PSB_NF,1,0.5333
1,14,Nutrient-Commercial,nutrient,Lalrise,1,0.1327
1,15,Nutrient-NF,nutrient,NF,3,0.1401
1,16,None-PSB_NF,none,PSB_NF,2,0.1732
1,17,None-NF,none,NF,1,0.1095
1,18,a1None-sterile water,none,a1water,3,0.2292
1,20,Nutrient-NF,nutrient,NF,4,0.0073
1,21,a1None-sterile water,none,a1water,4,0.1732
1,22,None-PSB_NF,none,PSB_NF,3,0.1701
1,23,Drought-NF,drought,NF,2,0.0102
1,24,Drought-NF,drought,NF,3,0.0453
1,26,None-Commercial,none,Lalrise,2,0.2618
1,27,None-Commercial,none,Lalrise,3,0.1232
1,28,Drought-NF,drought,NF,4,0.0943
1,29,Nutrient-PSB,nutrient,PSB,2,0.0465
1,30,a1None-sterile water,none,a1water,5,0.0024
1,31,Nutrient-Commercial,nutrient,Lalrise,2,0.0024
1,32,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0179
1,33,Drought-PSB,drought,PSB,1,0.1527
1,34,Drought-sterile water,drought,a1water,2,0.0093
1,35,Drought-PSB_NF,drought,PSB_NF,2,0.0381
1,36,Drought-PSB,drought,PSB,2,0.0248
1,38,Nutrient-sterile water,nutrient,a1water,2,0.0077
1,39,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0278
1,40,Drought-sterile water,drought,a1water,3,0.0127
1,41,a1None-sterile water,none,a1water,6,0.1173
1,42,Drought-NF,drought,NF,5,0.0169
1,43,None-NF,none,NF,3,0.0947
1,44,None-PSB,none,PSB,1,0.0918
1,45,Nutrient-sterile water,nutrient,a1water,3,0.0162
1,46,Nutrient-sterile water,nutrient,a1water,4,0.0076
1,47,Drought-PSB,drought,PSB,3,0.0356
1,50,None-PSB,none,PSB,2,0.0844
1,51,None-PSB,none,PSB,3,0.0447
1,52,Drought-sterile water,drought,a1water,4,0.0313
1,54,Nutrient-NF,nutrient,NF,5,0.0255
1,55,Drought-Commercial,drought,Lalrise,3,0.0218
1,56,None-PSB_NF,none,PSB_NF,4,0.0197
1,57,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0138
1,58,Nutrient-PSB,nutrient,PSB,3,0.0026
1,59,Nutrient-PSB,nutrient,PSB,4,0.0359
1,60,Drought-Commercial,drought,Lalrise,4,0.0182
1,61,Drought-Commercial,drought,Lalrise,5,0.0597
1,62,Drought-PSB_NF,drought,PSB_NF,3,0.0539
1,63,Drought-PSB_NF,drought,PSB_NF,4,0.0406
1,64,None-NF,none,NF,4,0.3146
1,65,Drought-sterile water,drought,a1water,5,0.0861
1,66,None-PSB_NF,none,PSB_NF,5,0.0283
1,67,Nutrient-Commercial,nutrient,Lalrise,4,0.0354
1,68,Drought-PSB,drought,PSB,5,0.1343
1,69,None-PSB,none,PSB,4,0.1137
1,71,None-PSB_NF,none,PSB_NF,6,0.161
1,75,Nutrient-sterile water,nutrient,a1water,6,0.0028
1,76,None-PSB,none,PSB,5,0.115
1,77,None-Commercial,none,Lalrise,4,0.0574
1,78,Nutrient-PSB,nutrient,PSB,6,0.0578
1,79,None-PSB,none,PSB,6,0.0994
1,80,None-NF,none,NF,5,0.0223
1,82,Drought-Commercial,drought,Lalrise,6,0.1221
1,83,None-Commercial,none,Lalrise,6,0.0245
1,84,Drought-PSB_NF,drought,PSB_NF,5,0.0122
1,85,Nutrient-Commercial,nutrient,Lalrise,6,0.0395
1,87,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.0704
1,88,None-NF,none,NF,6,0.0184
1,89,Drought-PSB,drought,PSB,6,0.0191
2,1,a1None-sterile water,none,a1water,1,0.0114
2,2,None-Commercial,none,Lalrise,1,0.0065
2,3,None-Commercial,none,Lalrise,2,0.0092
2,4,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0029
2,5,Nutrient-PSB,nutrient,PSB,1,0.0046
2,6,Drought-PSB_NF,drought,PSB_NF,1,0.014
2,8,Drought-NF,drought,NF,1,0.0018
2,9,Drought-sterile water,drought,a1water,1,0.0083
2,11,None-Commercial,none,Lalrise,3,0.0061
2,12,Nutrient-sterile water,nutrient,a1water,1,0.0086
2,13,Drought-PSB_NF,drought,PSB_NF,2,0.0035
2,14,Nutrient-NF,nutrient,NF,1,0.0376
2,16,Nutrient-sterile water,nutrient,a1water,2,0.0129
2,17,Drought-PSB_NF,drought,PSB_NF,3,0.0138
2,18,Nutrient-NF,nutrient,NF,3,0.0107
2,19,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.022
